date,return
2016-01-04,0.0001556498627912628
2016-01-05,0.0001556498627912628
2016-01-06,0.0001556498627912628
2016-01-07,0.0001556498627912628
2016-01-08,0.0001556498627912628
2016-01-11,0.0001556498627912628
2016-01-12,0.0001556498627912628
2016-01-13,-0.00020951183741879653
2016-01-14,0.019698239731768652
2016-01-15,-0.016235100698725802
2016-01-18,0.0
2016-01-19,0.006893670357217552
2016-01-20,0.0018672199170124415
2016-01-21,0.005177055290950472
2016-01-22,0.06551297898640307
2016-01-25,0.01894818252126851
2016-01-26,0.006072106261859611
2016-01-27,-0.02451904941531502
2016-01-28,-0.02300850734725446
2016-01-29,0.007916089451810882
2016-02-01,0.01050664596598394
2016-02-02,-0.019096229615554572
2016-02-03,0.011527766439816123
2016-02-04,0.004762214604555652
2016-02-05,-0.03572089473121948
2016-02-08,-0.028109852241737676
2016-02-09,-0.008810289613351063
2016-02-10,0.014635301107952794
2016-02-11,-0.008928803659644866
2016-02-12,0.01736060992176469
2016-02-15,0.0
2016-02-16,0.020285900018227297
2016-02-17,0.018907013428057354
2016-02-18,-0.00681759025917951
2016-02-19,0.011935975769135727
2016-02-22,0.010538496138346277
2016-02-23,-0.005922465677356866
2016-02-24,0.006741685720108559
2016-02-25,0.00858478601971752
2016-02-26,0.0044818374877284945
2016-02-29,-0.009994373584783915
2016-03-01,0.02612616454375522
2016-03-02,-0.0026262864782918543
2016-03-03,0.0022223597689834396
2016-03-04,-0.0030183080607214603
2016-03-07,0.0045857641606819564
2016-03-08,-0.017496846735378147
2016-03-09,-0.0024102100371189944
2016-03-10,-0.003487599907935279
2016-03-11,0.015104263076019716
2016-03-14,-0.010904159210066178
2016-03-15,-0.006392360210342825
2016-03-16,0.0013901754467851395
2016-03-17,-0.0009879098466363183
2016-03-18,0.0043347211354140954
2016-03-21,0.0077981911768136404
2016-03-22,0.0018932304411398186
2016-03-23,-0.008291901647193282
2016-03-24,0.0013780542369983126
2016-03-28,-0.0032644169015932996
2016-03-29,0.01604988512581067
2016-03-30,0.00484674515660836
2016-03-31,0.0065056281325248655
2016-04-01,0.019300770656194385
2016-04-04,0.014603003194193765
2016-04-05,0.006169865621849061
2016-04-06,0.028134095905172306
2016-04-07,-0.017218670168522736
2016-04-08,-0.0013458456804335587
2016-04-11,-0.0062788808633538196
2016-04-12,0.008664683486917365
2016-04-13,0.013076852878465384
2016-04-14,-0.00015582258192218626
2016-04-15,-0.0010352930896042908
2016-04-18,0.009635747314793072
2016-04-19,-0.006102246289774279
2016-04-20,0.009898744278460625
2016-04-21,0.006741083801708014
2016-04-22,0.002423193879241459
2016-04-25,0.009360578790473813
2016-04-26,-0.0028016876271768076
2016-04-27,-0.003972436669533286
2016-04-28,0.022731193249403012
2016-04-29,-0.0341802713475275
2016-05-02,0.008210649626363753
