date,return
2016-01-04,0.0001556498627912628
2016-01-05,0.0001556498627912628
2016-01-06,0.0001556498627912628
2016-01-07,0.0001556498627912628
2016-01-08,0.0001556498627912628
2016-01-11,0.0001556498627912628
2016-01-12,0.0001556498627912628
2016-01-13,-0.00020951183741879653
2016-01-14,0.019698239731768652
2016-01-15,-0.016235100698725802
2016-01-18,0.0
2016-01-19,0.006893670357217552
2016-01-20,0.0018672199170124415
2016-01-21,0.005177055290950472
2016-01-22,0.06551297898640307
2016-01-25,0.01894818252126851
2016-01-26,0.006072106261859611
2016-01-27,-0.02451904941531502
2016-01-28,-0.02300850734725446
2016-01-29,0.007916089451810882
2016-02-01,0.01050664596598394
2016-02-02,-0.019096229615554572
2016-02-03,0.011527766439816123
2016-02-04,0.004762214604555652
2016-02-05,-0.03572089473121948
2016-02-08,-0.028109852241737676
2016-02-09,-0.008810289613351063
2016-02-10,0.014635301107952794
2016-02-11,-0.008928803659644866
2016-02-12,0.01736060992176469
2016-02-15,0.0
2016-02-16,0.020285900018227297
2016-02-17,0.02165167579328117
2016-02-18,-0.004985171273071491
2016-02-19,0.004841511261710263
2016-02-22,0.010322376788854748
2016-02-23,-0.006532026425651086
2016-02-24,0.005207092477407027
2016-02-25,0.008697156935696821
2016-02-26,0.0037201114654318006
2016-02-29,-0.010066479815088155
2016-03-01,0.027931224539303613
2016-03-02,0.001137849318094708
2016-03-03,0.002955543713631004
2016-03-04,0.0008794612534019327
2016-03-07,0.004278626684594696
2016-03-08,-0.016054641008973046
2016-03-09,-0.0042917248166370065
2016-03-10,-0.00036824661598400997
2016-03-11,0.012379104610487664
2016-03-14,-0.004599417986758196
2016-03-15,-0.006430012247827977
2016-03-16,-0.00037467910947114693
2016-03-17,-0.0006217310975144885
2016-03-18,0.007245410008181019
2016-03-21,0.004700495596722024
2016-03-22,0.0018760877924182203
2016-03-23,-0.009450851656425096
2016-03-24,-0.0015813357723720057
2016-03-28,-0.0028601396268725637
2016-03-29,0.013947928974742648
2016-03-30,0.00469551902198273
2016-03-31,0.006475495663368002
2016-04-01,0.020680209430570133
2016-04-04,0.011534831423731929
2016-04-05,0.005064767016750449
2016-04-06,0.026547657658884633
2016-04-07,-0.017763110954216618
2016-04-08,-0.0013698419425263693
2016-04-11,-0.004993089284901697
2016-04-12,0.011040177361145886
2016-04-13,0.012643357543009255
2016-04-14,-0.00024223757312520356
2016-04-15,-0.0005798248042239754
2016-04-18,0.008648730163295688
2016-04-19,-0.006197201984916423
2016-04-20,0.009039582679273746
2016-04-21,0.006927529120492215
2016-04-22,0.0004224201193730126
2016-04-25,0.008811047831893489
2016-04-26,-0.0025783534261677233
2016-04-27,-0.005948999572842354
2016-04-28,0.022725919690472374
2016-04-29,-0.03659912191370073
2016-05-02,0.0071695120174740294
